time,sym,src,price,size
2023-04-21D08:00:03.091000000,CSCO,L,36.38,556
2023-04-21D08:00:06.128000000,CSCO,O,36.34,2706
2023-04-21D08:00:07.487000000,GOOG,O,41.89,234
2023-04-21D08:00:13.262000000,MSFT,N,35.61,928
2023-04-21D08:00:14.881000000,AAPL,N,25.47,203
2023-04-21D08:00:20.175000000,AAPL,L,25.48,312
2023-04-21D08:00:20.995000000,YHOO,L,34.96,2640
2023-04-21D08:00:21.777000000,CSCO,O,36.35,1249
2023-04-21D08:00:26.048000000,YHOO,O,34.92,2341

2023-04-21D08:00:27.717000000,AAPL,N,25.45,2721
2023-04-21D08:00:30.355000000,DELL,O,29.9,2601
2023-04-21D08:00:31.764000000,NOK,O,31.24,6166
2023-04-21D08:00:33.716000000,CSCO,L,36.38,151
2023-04-21D08:00:38.262000000,IBM,N,46.8,472
2023-04-21D08:00:38.276000000,GOOG,N,41.83,8988
2023-04-21D08:00:42.054000000,ORCL,N,33.87,270
2023-04-21D08:00:45.236000000,CSCO,N,36.37,6266
2023-04-21D08:00:46.953000000,DELL,L,29.94,6230
2023-04-21D08:00:54.271000000,ORCL,L,33.87,2946
2023-04-21D08:00:56.851000000,AAPL,O,25.49,754
2023-04-21D08:01:07.502000000,DELL,L,29.94,869
2023-04-21D08:01:13.484000000,ORCL,L,33.83,5017
2023-04-21D08:01:14.811000000,DELL,N,29.99,5847
2023-04-21D08:01:16.886000000,CSCO,N,36.42,3078
2023-04-21D08:01:21.581000000,NOK,O,31.28,2042
2023-04-21D08:01:23.934000000,GOOG,L,41.87,2760
2023-04-21D08:01:28.568000000,ORCL,L,33.82,258
2023-04-21D08:01:30.907000000,ORCL,L,33.82,615
2023-04-21D08:01:48.814000000,YHOO,O,34.94,1550
2023-04-21D08:01:50.744000000,DELL,L,30,2409
2023-04-21D08:02:04.241000000,GOOG,O,41.83,3025
2023-04-21D08:02:06.366000000,IBM,L,46.69,2126
2023-04-21D08:02:08.027000000,AAPL,L,25.48,783
2023-04-21D08:02:12.636000000,CSCO,O,36.45,976
2023-04-21D08:02:21.365000000,YHOO,O,34.9,185
2023-04-21D08:02:24.310000000,DELL,O,30.03,2574
2023-04-21D08:02:24.894000000,IBM,O,46.68,5921
2023-04-21D08:02:25.664000000,YHOO,L,34.91,109
2023-04-21D08:02:30.694000000,DELL,O,30.01,5993
2023-04-21D08:02:32.473000000,MSFT,O,35.57,5395
2023-04-21D08:02:34.146000000,ORCL,L,33.82,603
2023-04-21D08:02:35.407000000,IBM,O,46.72,1676
2023-04-21D08:02:37.054000000,GOOG,O,41.84,3317
2023-04-21D08:02:40.010000000,GOOG,N,41.85,1054
2023-04-21D08:02:42.976000000,DELL,N,30.05,1491
2023-04-21D08:02:43.714000000,GOOG,O,41.83,344
2023-04-21D08:02:46.053000000,CSCO,N,36.49,4752
2023-04-21D08:02:48.688000000,IBM,L,46.68,108
2023-04-21D08:02:51.813000000,NOK,O,31.25,865
2023-04-21D08:02:53.842000000,IBM,N,46.71,405
2023-04-21D08:02:54.046000000,AAPL,L,25.49,2365
2023-04-21D08:03:02.633000000,NOK,O,31.19,178
2023-04-21D08:03:05.272000000,IBM,N,46.72,105
2023-04-21D08:03:09.117000000,IBM,N,46.69,636
2023-04-21D08:03:09.178000000,NOK,O,31.16,50
2023-04-21D08:03:13.481000000,CSCO,O,36.48,4381
2023-04-21D08:03:14.578000000,CSCO,L,36.47,2164
